node,initial_quantum_score,final_quantum_score,final_theta
0,0.438446691365793,0.5559822390957209,0.0
1,0.2348025994706891,0.17479772114284348,0.005223613921262028
2,0.15675186978871025,0.09421195675386335,-0.01952486343788013
3,0.9262576959234498,0.9106049627739339,0.10681795726380101
4,0.5649459272044551,0.6749112619156276,0.012883205332914788
5,0.45363796138791634,0.09313329333969417,0.0
6,0.6788454335385581,0.14323865813969966,0.0
7,0.48197304260558205,0.40281261425266024,0.027596919104995427
8,0.39695135218760513,0.3789215749870251,0.0037171338708678146
9,0.4374078719320917,0.43357198568097005,0.0
